type,name,request_count,failure_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,rps,fps,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/d,2,0,1.469390999773168,2.6111910001418437,1.469390999773168,3.7529910005105194,217.0,0.06494915948074138,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/d,2,0,3,2.9132194986232207,2.6875619987549726,3.138876998491469,231.0,0.06494915948074138,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/d,3,0,130.0,120.65248499978527,3.1990089992177673,231.70130600010452,0.0,0.09742373922111208,0.0,130,130,230,230,230,230,230,230,230,230,230
GET,/d,4,0,22,413.1069215000025,2.5515119996271096,1420.8692049996898,415.0,0.12989831896148277,0.0,210,210,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/d,1,0,119.9241800004529,119.9241800004529,119.9241800004529,119.9241800004529,344.0,0.03247457974037069,0.0,120,120,120,120,120,120,120,120,120,120,120
GET,/d,2,0,201.70866700027545,408.4934680004153,201.70866700027545,615.2782690005552,474.0,0.06494915948074138,0.0,620,620,620,620,620,620,620,620,620,620,620
GET,/d,3,0,130.0,104.32589899998372,4.6813909993943525,175.60856199997943,501.0,0.09742373922111208,0.0,130,130,180,180,180,180,180,180,180,180,180
GET,/d,4,0,14,96.5202280003723,2.769276999970316,244.09987900071428,458.0,0.12989831896148277,0.0,130,130,240,240,240,240,240,240,240,240,240
GET,/d,2,0,57.04517000049236,116.24714250046964,57.04517000049236,175.4491150004469,0.0,0.06494915948074138,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/d,3,0,89,227.57922699929622,59.884286998567404,534.2953509989457,159.0,0.09742373922111208,0.0,89,89,530,530,530,530,530,530,530,530,530
GET,/d,5,0,3,121.9114580006135,1.6628510002192343,464.5972470007109,201.0,0.16237289870185348,0.0,3,140,140,460,460,460,460,460,460,460,460
GET,/d,2,0,80,263.39300850122527,79.59517200106347,447.19084500138706,465.0,0.06494915948074138,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,/d,2,0,36,102.97419100061234,35.60941400064621,170.33896800057846,418.0,0.06494915948074138,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/d,1,0,141.01680500061775,141.01680500061775,141.01680500061775,141.01680500061775,0.0,0.03247457974037069,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/d,1,0,2.4902599998313235,2.4902599998313235,2.4902599998313235,2.4902599998313235,162.0,0.03247457974037069,0.0,2,2,2,2,2,2,2,2,2,2,2
